id,popularity,original_title,director,keywords,runtime,genres,vote_count,vote_average,release_year,budget_adj,revenue_adj,decades,horror
135397,32.985763,Jurassic World,Colin Trevorrow,monster|dna|tyrannosaurus rex|velociraptor|island,124,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",5562,6.5,2015,137999939.280026,1392445892.5238,2010s,False
76341,28.419936,Mad Max: Fury Road,George Miller,future|chase|post-apocalyptic|dystopia|australia,120,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",6185,7.1,2015,137999939.280026,348161292.489031,2010s,False
262500,13.112507,Insurgent,Robert Schwentke,based on novel|revolution|dystopia|sequel|dystopic future,119,"['Adventure', 'Science Fiction', 'Thriller']",2480,6.3,2015,101199955.47201899,271619025.407628,2010s,False
140607,11.173103999999999,Star Wars: The Force Awakens,J.J. Abrams,android|spaceship|jedi|space opera|3d,136,"['Action', 'Adventure', 'Science Fiction', 'Fantasy']",5292,7.5,2015,183999919.040035,1902723129.80182,2010s,False
168259,9.335014,Furious 7,James Wan,car race|speed|revenge|suspense|car,137,"['Action', 'Crime', 'Thriller']",2947,7.3,2015,174799923.08803302,1385748801.47052,2010s,False
281957,9.1107,The Revenant,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,father-son relationship|rape|based on novel|mountains|winter,156,"['Western', 'Drama', 'Adventure', 'Thriller']",3929,7.2,2015,124199945.352024,490314247.02173096,2010s,False
87101,8.654359,Terminator Genisys,Alan Taylor,saving the world|artificial intelligence|cyborg|killer robot|future,125,"['Science Fiction', 'Action', 'Thriller', 'Adventure']",2598,5.8,2015,142599937.256027,405355075.683766,2010s,False
286217,7.6674,The Martian,Ridley Scott,based on novel|mars|nasa|isolation|botanist,141,"['Drama', 'Adventure', 'Science Fiction']",4572,7.6,2015,99359956.2816192,547749654.3101519,2010s,False
211672,7.40416499999999,Minions,Kyle Balda|Pierre Coffin,assistant|aftercreditsstinger|duringcreditsstinger|evil mastermind|minions,91,"['Family', 'Animation', 'Adventure', 'Comedy']",2893,6.5,2015,68079970.0448131,1064192016.7955099,2010s,False
150540,6.326804,Inside Out,Pete Docter,dream|cartoon|imaginary friend|animation|kid,94,"['Comedy', 'Animation', 'Family']",3935,8.0,2015,160999929.16003102,785411574.698907,2010s,False
206647,6.200282,Spectre,Sam Mendes,spy|based on novel|secret agent|sequel|james bond,148,"['Action', 'Adventure', 'Crime']",3254,6.2,2015,225399900.824043,810220283.783075,2010s,False
76757,6.189369,Jupiter Ascending,Lana Wachowski|Lilly Wachowski,jupiter|space|woman director|3d|interspecies romance,124,"['Science Fiction', 'Fantasy', 'Action', 'Adventure']",1937,5.2,2015,161919931.51523,169268630.681802,2010s,False
264660,6.118847,Ex Machina,Alex Garland,dancing|artificial intelligence|helicopter|distrust|isolation,108,"['Drama', 'Science Fiction']",2854,7.6,2015,13799993.9280026,33919845.9552677,2010s,False
257344,5.984995,Pixels,Chris Columbus,video game|nerd|alien attack|3d|pixels,105,"['Action', 'Comedy', 'Science Fiction']",1575,5.8,2015,80959964.37761559,224146025.095748,2010s,False
99861,5.944927,Avengers: Age of Ultron,Joss Whedon,marvel comic|comic|sequel|superhero|vision,141,"['Action', 'Adventure', 'Science Fiction']",4304,7.4,2015,257599886.656049,1292632336.88177,2010s,False
273248,5.8984,The Hateful Eight,Quentin Tarantino,bounty hunter|wyoming|mountains|hangman|voice over narration,167,"['Crime', 'Drama', 'Mystery', 'Western']",2389,7.4,2015,40479982.18880779,143299244.588332,2010s,False
260346,5.749758,Taken 3,Olivier Megaton,revenge|murder|on the run|fugitive|framed,109,"['Crime', 'Action', 'Thriller']",1578,6.1,2015,44159980.5696085,299709578.207785,2010s,False
102899,5.5731839999999995,Ant-Man,Peyton Reed,marvel comic|superhero|aftercreditsstinger|duringcreditsstinger|marvel cinematic universe,115,"['Science Fiction', 'Action', 'Adventure']",3779,7.0,2015,119599947.376023,477113780.029936,2010s,False
150689,5.556818,Cinderella,Kenneth Branagh,cinderella|magic|fairy tale|princess|shoe,112,"['Romance', 'Fantasy', 'Family', 'Drama']",1495,6.8,2015,87399961.54401691,498963025.21626794,2010s,False
131634,5.476958,The Hunger Games: Mockingjay - Part 2,Francis Lawrence,revolution|strong woman|dystopia|game of death|3d,136,"['War', 'Adventure', 'Science Fiction']",2380,6.5,2015,147199935.232028,598481289.508232,2010s,False
158852,5.4621379999999995,Tomorrowland,Brad Bird,inventor|apocalypse|destiny|imax|dreamer,130,"['Action', 'Family', 'Science Fiction', 'Adventure', 'Mystery']",1899,6.2,2015,174799923.08803302,192312729.942398,2010s,False
307081,5.337064,Southpaw,Antoine Fuqua,sport,123,"['Action', 'Drama']",1386,7.3,2015,27599987.856005296,84373003.7158783,2010s,False
254128,4.907832,San Andreas,Brad Peyton,california|earthquake|catastrophe|disaster film|3d,114,"['Action', 'Drama', 'Thriller']",2060,6.1,2015,101199955.47201899,432851374.985395,2010s,False
216015,4.71040199999999,Fifty Shades of Grey,Sam Taylor-Johnson,based on novel|billionaire|bdsm|woman director|erotic movie,125,"['Drama', 'Romance']",1865,5.3,2015,36799983.808007106,524079119.045187,2010s,False
318846,4.648046,The Big Short,Adam McKay,bank|fraud|biography|wall street|finances,130,"['Comedy', 'Drama']",1545,7.3,2015,25759988.665604897,122678731.54135801,2010s,False
